,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0,1,11.8,6.1,1,0,1,1,Male
1,0,14.0,5.4,0,0,1,0,Female
2,0,11.8,6.3,1,1,1,1,Male
3,0,14.4,6.1,0,1,1,1,Male
4,1,13.5,5.9,0,0,0,0,Female
5,1,13.0,6.8,1,1,1,1,Male
6,1,15.3,6.2,1,1,1,0,Male
7,0,13.0,5.2,0,0,0,0,Female
8,1,11.9,5.4,1,0,1,1,Female
9,1,12.1,5.4,0,0,0,0,Female
10,0,12.5,5.4,1,1,1,1,Male
11,1,15.5,5.8,1,1,1,1,Male
12,0,14.7,5.2,1,1,1,1,Male
13,1,14.5,6.7,0,1,1,1,Male
14,1,14.2,6.5,0,0,0,0,Female
15,0,12.5,5.2,1,1,1,1,Male
16,1,15.2,6.0,1,1,1,1,Male
17,1,14.0,5.9,0,0,0,0,Female
18,1,11.9,5.2,0,0,0,0,Female
19,1,14.4,5.6,1,0,1,1,Male
20,1,14.6,6.3,1,1,1,1,Male
21,1,12.8,7.0,1,1,1,1,Male
22,1,12.9,6.4,1,0,0,1,Female
23,0,12.2,6.0,1,1,0,1,Male
24,0,14.2,5.3,0,0,0,0,Female
25,1,12.3,6.3,0,0,0,0,Female
26,1,14.2,6.2,0,0,0,0,Female
27,1,12.5,5.2,0,0,0,0,Female
28,1,15.5,5.7,1,1,1,0,Male
29,1,15.3,6.3,1,1,1,1,Male
30,1,15.3,5.2,1,1,1,1,Male
31,1,12.3,6.8,1,1,1,1,Male
32,1,11.8,5.3,1,0,0,0,Female
33,1,11.8,6.0,1,0,0,0,Female
34,1,12.7,5.4,0,1,1,1,Male
35,1,14.1,6.1,1,1,1,1,Male
36,1,12.9,6.0,0,0,0,0,Female
37,1,14.0,5.1,1,0,0,0,Female
38,0,13.5,5.2,0,0,0,0,Female
39,0,15.5,6.3,1,1,1,1,Male
40,1,14.1,5.9,0,0,0,0,Female
41,1,14.4,6.8,1,1,1,1,Male
42,1,12.2,6.1,1,1,1,1,Male
43,1,11.5,6.2,0,0,0,0,Female
44,0,12.9,6.3,1,1,1,1,Male
45,1,12.1,5.2,1,1,1,1,Male
46,1,13.8,5.1,0,0,0,0,Female
47,1,13.7,5.3,0,1,1,0,Male
48,1,11.5,6.3,1,0,1,0,Female
49,1,12.0,5.5,0,1,0,0,Female
50,1,14.1,5.4,1,1,1,0,Male
51,1,12.8,6.4,0,0,0,1,Female
52,1,12.9,5.3,0,0,0,0,Female
53,1,13.5,5.3,0,0,0,0,Female
54,1,14.0,5.3,1,1,1,1,Male
55,1,11.4,5.6,0,0,1,1,Female
56,1,15.4,5.1,1,1,1,0,Male
57,1,13.5,6.0,1,1,1,1,Male
58,1,14.0,5.4,0,1,0,1,Male
59,1,14.1,5.9,0,0,0,0,Female
60,1,13.3,5.5,0,0,1,0,Female
61,1,13.2,5.8,0,1,1,1,Male
62,1,11.9,5.4,1,1,0,0,Female
63,0,14.3,5.6,1,1,1,1,Male
64,1,13.9,6.5,0,0,0,0,Female
65,1,11.8,5.1,0,0,1,1,Female
66,1,14.2,6.2,0,0,0,0,Female
67,1,11.7,6.2,0,1,0,0,Female
68,1,14.2,5.8,0,0,1,0,Female
69,0,12.1,6.3,0,0,1,1,Female
70,1,11.8,6.1,0,0,0,0,Female
71,1,15.1,6.0,1,1,1,1,Male
72,1,13.2,6.2,1,1,1,1,Male
73,1,15.0,6.8,1,0,0,0,Male
74,1,14.2,6.5,0,0,1,1,Female
75,0,12.4,6.0,0,1,0,0,Female
76,1,14.1,5.2,0,0,0,0,Female
77,1,13.9,5.9,1,0,1,1,Male
78,1,11.8,6.0,1,1,1,1,Male
79,1,11.6,7.1,0,1,1,1,Male
80,1,12.4,6.5,0,0,0,0,Female
81,0,11.5,5.9,0,0,0,0,Female
82,1,13.7,6.7,1,1,1,1,Male
83,1,12.2,5.1,0,1,0,0,Female
84,1,13.7,5.1,0,0,0,1,Female
85,1,12.5,5.6,1,1,0,1,Male
86,1,11.9,6.0,1,1,1,1,Male
87,1,12.4,6.1,0,0,0,0,Female
88,1,12.6,5.9,0,0,1,1,Male
89,1,14.1,6.2,1,0,1,1,Male
